Дата	Характерный день	Торговый час	Характерный час	График ППП, МВтч	"Объем Торгового графика (скорректированное плановое почасовое потребление) МВт*час"	Объем покупки МВт*час	В т.ч. потери, отнесенные к объему покупки	Фактическое собственное потребление, МВтч	Покупка (+) / Продажа (-) на БР (BR+/-), МВтч	Объем покупки на БР (BR+), МВтч	Объем продажи на БР (BR-), МВтч
09.01.2015	выходной	22	полупик	0,95	0,95	0,979	0,029	0,42	-0,529	0,00	 0,53    
09.01.2015	выходной	23	минимум	0,95	0,95	0,979	0,029	0,42	-0,529	0,00	 0,53    
10.01.2015	выходной	0	минимум	1	1	1,03	0,03	0,42	-0,577	0,00	 0,58    
10.01.2015	выходной	1	минимум	1	1	1,031	0,031	0,42	-0,577	0,00	 0,58    
10.01.2015	выходной	2	минимум	1	1	1,03	0,03	0,42	-0,578	0,00	 0,58    
10.01.2015	выходной	3	минимум	1	1	1,03	0,03	0,42	-0,576	0,00	 0,58    
10.01.2015	выходной	4	минимум	1	1	1,03	0,03	0,43	-0,571	0,00	 0,57    
10.01.2015	выходной	5	минимум	1	1	1,03	0,03	0,43	-0,57	0,00	 0,57    
10.01.2015	выходной	6	минимум	1	1	1,03	0,03	0,46	-0,541	0,00	 0,54    
10.01.2015	выходной	7	минимум	1	1	1,03	0,03	0,56	-0,436	0,00	 0,44    
10.01.2015	выходной	8	минимум	1	1	1,029	0,029	0,65	-0,346	0,00	 0,35    
10.01.2015	выходной	9	минимум	1	1	1,029	0,029	0,69	-0,311	0,00	 0,31    
10.01.2015	выходной	10	минимум	1	1	1,028	0,028	0,70	-0,3	0,00	 0,30    
10.01.2015	выходной	11	полупик	1	1	1,029	0,029	0,69	-0,312	0,00	 0,31    
10.01.2015	выходной	12	полупик	1	1	1,029	0,029	0,67	-0,33	0,00	 0,33    
10.01.2015	выходной	13	полупик	1	1	1,029	0,029	0,64	-0,364	0,00	 0,36    
10.01.2015	выходной	14	полупик	1	1	1,028	0,028	0,64	-0,364	0,00	 0,36    
10.01.2015	выходной	15	полупик	1	1	1,028	0,028	0,64	-0,358	0,00	 0,36    
10.01.2015	выходной	16	полупик	1	1	1,028	0,028	0,63	-0,368	0,00	 0,37    
10.01.2015	выходной	17	полупик	1	1	1,028	0,028	0,62	-0,378	0,00	 0,38    
10.01.2015	выходной	18	полупик	1	1	1,028	0,028	0,63	-0,369	0,00	 0,37    
10.01.2015	выходной	19	полупик	1	1	1,028	0,028	0,63	-0,371	0,00	 0,37    
10.01.2015	выходной	20	полупик	1	1	1,029	0,029	0,63	-0,37	0,00	 0,37    
10.01.2015	выходной	21	полупик	1	1	1,029	0,029	0,64	-0,359	0,00	 0,36    
10.01.2015	выходной	22	полупик	1	1	1,029	0,029	0,65	-0,346	0,00	 0,35    
10.01.2015	выходной	23	минимум	1	1	1,03	0,03	0,66	-0,341	0,00	 0,34    
11.01.2015	выходной	0	минимум	1	1	1,032	0,032	0,68	-0,322	0,00	 0,32    
11.01.2015	выходной	1	минимум	1	1	1,031	0,031	0,69	-0,311	0,00	 0,31    
11.01.2015	выходной	2	минимум	1	1	1,031	0,031	0,70	-0,304	0,00	 0,30    
11.01.2015	выходной	3	минимум	1	1	1,031	0,031	0,70	-0,304	0,00	 0,30    
11.01.2015	выходной	4	минимум	1	1	1,031	0,031	0,69	-0,309	0,00	 0,31    
11.01.2015	выходной	5	минимум	1	1	1,031	0,031	0,70	-0,301	0,00	 0,30    
11.01.2015	выходной	6	минимум	1	1	1,031	0,031	0,93	-0,068	0,00	 0,07    
11.01.2015	выходной	7	минимум	1	1	1,031	0,031	1,13	0,133	0,13	 -      
11.01.2015	выходной	8	минимум	1	1	1,03	0,03	1,15	0,147	0,15	 -      
